Source,Target,Type,ID,Label,Weighted
1,83,Undirected,83,,0.884174548
1,84,Undirected,84,,0.614745944
1,85,Undirected,85,,0.652710964
1,86,Undirected,86,,0.584257361
1,87,Undirected,87,,0.763728895
1,88,Undirected,88,,0.739353644
1,89,Undirected,89,,0.614945862
1,90,Undirected,90,,0.800225361
1,91,Undirected,91,,0.615545562
1,92,Undirected,92,,0.56625418
1,93,Undirected,93,,0.434888645
1,94,Undirected,94,,0.405917879
1,95,Undirected,95,,0.442865177
1,96,Undirected,96,,0.590116261
1,97,Undirected,97,,0.489293956
1,98,Undirected,98,,0.606531059
1,99,Undirected,99,,0.823466639
1,100,Undirected,100,,0.890967721
1,101,Undirected,101,,0.65215538
1,102,Undirected,102,,0.875734587
1,103,Undirected,103,,0.686126998
1,104,Undirected,104,,0.545549089
1,105,Undirected,105,,0.668025934
1,106,Undirected,106,,0.437482464
1,107,Undirected,107,,0.595328868
1,108,Undirected,108,,0.427646128
1,109,Undirected,109,,0.483609569
1,110,Undirected,110,,0.697075053
1,111,Undirected,111,,0.560383254
1,112,Undirected,112,,0.583235969
1,113,Undirected,113,,0.610511721
1,114,Undirected,114,,0.770701216
2,1,Undirected,115,,0.744127843
2,2,Undirected,116,,1
2,3,Undirected,117,,0.837685572
2,4,Undirected,118,,0.92709575
2,5,Undirected,119,,0.790158679
2,6,Undirected,120,,0.908695451
2,7,Undirected,121,,0.848940527
2,8,Undirected,122,,0.963897256
2,9,Undirected,123,,0.726628931
2,10,Undirected,124,,0.573256789
2,11,Undirected,125,,0.643657053
2,12,Undirected,126,,0.475671317
2,13,Undirected,127,,0.783608643
2,14,Undirected,128,,0.834806788
2,15,Undirected,129,,0.655643369
2,16,Undirected,130,,0.525452923
2,17,Undirected,131,,0.403495272
2,18,Undirected,132,,0.472394513
2,19,Undirected,133,,0.473504132
2,20,Undirected,134,,0.344924495
2,21,Undirected,135,,0.25149087
2,22,Undirected,136,,0.225798125
2,23,Undirected,137,,0.186629967
2,24,Undirected,138,,0.563403144
2,25,Undirected,139,,0.428746366
2,26,Undirected,140,,0.337905093
2,27,Undirected,141,,0.517186773
2,28,Undirected,142,,0.6602502
2,29,Undirected,143,,0.792825506
2,30,Undirected,144,,0.630142428
2,31,Undirected,145,,0.961453194
2,32,Undirected,146,,0.946054368
2,33,Undirected,147,,0.860653759
2,34,Undirected,148,,0.781610489
2,35,Undirected,149,,0.944177741
2,36,Undirected,150,,0.925473443
2,37,Undirected,151,,0.985080301
2,38,Undirected,152,,0.831491836
2,39,Undirected,153,,0.814184684
2,40,Undirected,154,,0.669046039
2,41,Undirected,155,,0.825150658
2,42,Undirected,156,,0.642399183
2,43,Undirected,157,,0.914089294
2,44,Undirected,158,,0.891891607
2,45,Undirected,159,,0.911445978
2,46,Undirected,160,,0.77657493
2,47,Undirected,161,,0.737493214
2,48,Undirected,162,,0.706151579
2,49,Undirected,163,,0.679010043
2,50,Undirected,164,,0.791260191
2,51,Undirected,165,,0.799308819
2,52,Undirected,166,,0.757205686
2,53,Undirected,167,,0.908367852
2,54,Undirected,168,,0.837109835
2,55,Undirected,169,,0.919873584
2,56,Undirected,170,,0.864802376
2,57,Undirected,171,,0.897558618
2,58,Undirected,172,,0.755663234
2,59,Undirected,173,,0.710569859
2,60,Undirected,174,,0.831765163
2,61,Undirected,175,,0.799420191
2,62,Undirected,176,,0.69537973
2,63,Undirected,177,,0.59420277
2,64,Undirected,178,,0.444757694
2,65,Undirected,179,,0.576210942
2,66,Undirected,180,,0.83636005
2,67,Undirected,181,,0.85558537
2,68,Undirected,182,,0.659589533
2,69,Undirected,183,,0.911079364
2,70,Undirected,184,,0.82191755
2,71,Undirected,185,,0.849472999
2,72,Undirected,186,,0.650301469
2,73,Undirected,187,,0.916441047
2,74,Undirected,188,,0.856246849
2,75,Undirected,189,,0.892969363
2,76,Undirected,190,,0.437368681
2,77,Undirected,191,,0.584826843
2,78,Undirected,192,,0.654961495
2,79,Undirected,193,,0.815179718
2,80,Undirected,194,,0.641237866
2,81,Undirected,195,,0.691466181
2,82,Undirected,196,,0.679423067
2,83,Undirected,197,,0.856451784
2,84,Undirected,198,,0.359151534
2,85,Undirected,199,,0.397061081
