Source,Target,Type,ID,Label,Weighted
1,120,Undirected,120,,0.354762558
1,121,Undirected,121,,0.427185394
1,122,Undirected,122,,0.538319546
1,123,Undirected,123,,0.430971057
1,124,Undirected,124,,0.610966006
1,125,Undirected,125,,0.907274813
1,126,Undirected,126,,0.93768921
1,127,Undirected,127,,0.829877036
1,128,Undirected,128,,0.66138345
1,129,Undirected,129,,0.844120237
1,130,Undirected,130,,0.733039862
1,131,Undirected,131,,0.810257852
1,132,Undirected,132,,0.924789734
1,133,Undirected,133,,0.900298222
1,134,Undirected,134,,0.880861145
1,135,Undirected,135,,0.868982456
1,136,Undirected,136,,0.918561113
1,137,Undirected,137,,0.746721871
1,138,Undirected,138,,0.891243822
1,139,Undirected,139,,0.778745118
1,140,Undirected,140,,0.964819658
1,141,Undirected,141,,0.767414077
1,142,Undirected,142,,0.850644823
1,143,Undirected,143,,0.816445639
1,144,Undirected,144,,0.730707472
1,145,Undirected,145,,0.887870008
1,146,Undirected,146,,0.866017156
1,147,Undirected,147,,0.933115737
1,148,Undirected,148,,0.844301499
1,149,Undirected,149,,0.649337161
1,150,Undirected,150,,0.828407806
1,151,Undirected,151,,0.920197428
1,152,Undirected,152,,0.81636029
1,153,Undirected,153,,0.603312027
1,154,Undirected,154,,0.725617236
1,155,Undirected,155,,0.52352423
1,156,Undirected,156,,0.652088643
1,157,Undirected,157,,0.815338029
1,158,Undirected,158,,0.898377414
1,159,Undirected,159,,0.911586666
1,160,Undirected,160,,0.858478931
1,161,Undirected,161,,0.947083658
1,162,Undirected,162,,0.881047997
1,163,Undirected,163,,0.926868021
1,164,Undirected,164,,0.920922756
1,165,Undirected,165,,0.869183595
1,166,Undirected,166,,0.835586225
1,167,Undirected,167,,0.960380741
1,168,Undirected,168,,0.564883626
1,169,Undirected,169,,0.607762349
1,170,Undirected,170,,0.530448993
1,171,Undirected,171,,0.583097828
1,172,Undirected,172,,0.491734528
1,173,Undirected,173,,0.733149009
1,174,Undirected,174,,0.828657502
1,175,Undirected,175,,0.667425007
1,176,Undirected,176,,0.70561894
1,177,Undirected,177,,0.565109419
1,178,Undirected,178,,0.561898616
1,179,Undirected,179,,0.481913313
1,180,Undirected,180,,0.774369107
1,181,Undirected,181,,0.565786736
1,182,Undirected,182,,0.510115713
1,183,Undirected,183,,0.361747917
1,184,Undirected,184,,0.329027548
1,185,Undirected,185,,0.617715894
1,186,Undirected,186,,0.505169195
1,187,Undirected,187,,0.370756829
1,188,Undirected,188,,0.42764236
1,189,Undirected,189,,0.390031632
1,190,Undirected,190,,0.537066195
1,191,Undirected,191,,0.42319475
1,192,Undirected,192,,0.288976249
1,193,Undirected,193,,0.305947605
1,194,Undirected,194,,0.555605512
1,195,Undirected,195,,0.618408752
1,196,Undirected,196,,0.404508664
1,197,Undirected,197,,0.800618437
1,198,Undirected,198,,0.876855989
1,199,Undirected,199,,0.607134857
1,200,Undirected,200,,0.859651274
1,201,Undirected,201,,0.616112092
1,202,Undirected,202,,0.436854196
1,203,Undirected,203,,0.645503323
1,204,Undirected,204,,0.486730822
1,205,Undirected,205,,0.496215855
1,206,Undirected,206,,0.42361694
1,207,Undirected,207,,0.625059491
1,208,Undirected,208,,0.364677446
1,209,Undirected,209,,0.542953454
1,210,Undirected,210,,0.353568021
1,211,Undirected,211,,0.416774649
1,212,Undirected,212,,0.657868353
1,213,Undirected,213,,0.8690773
1,214,Undirected,214,,0.808545962
1,215,Undirected,215,,0.50348493
1,216,Undirected,216,,0.763286429
1,217,Undirected,217,,0.645824993
1,218,Undirected,218,,0.529295405
1,219,Undirected,219,,0.56010138
1,220,Undirected,220,,0.777903292
1,221,Undirected,221,,0.662644516
1,222,Undirected,222,,0.741023738
1,223,Undirected,223,,0.879332943
1,224,Undirected,224,,0.801127078
2,1,Undirected,225,,0.71101105
2,2,Undirected,226,,1
2,3,Undirected,227,,0.816677685
2,4,Undirected,228,,0.917659964
2,5,Undirected,229,,0.941892669
2,6,Undirected,230,,0.771339917
2,7,Undirected,231,,0.762999524
2,8,Undirected,232,,0.54494443
2,9,Undirected,233,,0.744692375
2,10,Undirected,234,,0.896878167
2,11,Undirected,235,,0.829389337
2,12,Undirected,236,,0.926374805
2,13,Undirected,237,,0.745445838
2,14,Undirected,238,,0.959224582
2,15,Undirected,239,,0.853541958
2,16,Undirected,240,,0.923603784
2,17,Undirected,241,,0.691247304
2,18,Undirected,242,,0.518024649
2,19,Undirected,243,,0.597536616
2,20,Undirected,244,,0.759480834
2,21,Undirected,245,,0.612987198
2,22,Undirected,246,,0.407808972
2,23,Undirected,247,,0.528408246
2,24,Undirected,248,,0.397011351
2,25,Undirected,249,,0.755601736
2,26,Undirected,250,,0.813426309
2,27,Undirected,251,,0.875973341
2,28,Undirected,252,,0.86594687
2,29,Undirected,253,,0.611074286
2,30,Undirected,254,,0.825691009
2,31,Undirected,255,,0.66296852
2,32,Undirected,256,,0.464033668
2,33,Undirected,257,,0.32629139
2,34,Undirected,258,,0.404108061
