Source,Target,Type,ID,Label,Weight
4,3,Undirected,64,,0.76538494
5,3,Undirected,65,,0.948465101
6,3,Undirected,66,,0.797734065
7,3,Undirected,67,,0.687561618
8,3,Undirected,68,,0.828265823
9,3,Undirected,69,,0.65324854
10,3,Undirected,70,,0.768146011
11,3,Undirected,71,,0.810917451
12,3,Undirected,72,,0.89647635
13,3,Undirected,73,,0.562638214
14,3,Undirected,74,,0.625067969
15,3,Undirected,75,,0.524728246
16,3,Undirected,76,,0.661644681
17,3,Undirected,77,,0.866192176
18,3,Undirected,78,,0.924721256
19,3,Undirected,79,,0.949413119
20,3,Undirected,80,,0.811175617
21,3,Undirected,81,,0.71754891
22,3,Undirected,82,,0.850082574
23,3,Undirected,83,,0.646751704
24,3,Undirected,84,,0.527075959
25,3,Undirected,85,,0.647484892
26,3,Undirected,86,,0.602288491
27,3,Undirected,87,,0.838132505
28,3,Undirected,88,,0.484214745
29,3,Undirected,89,,0.62894774
30,3,Undirected,90,,0.475195583
1,4,Undirected,91,,0.881760872
2,4,Undirected,92,,0.738412356
3,4,Undirected,93,,0.76538494
4,4,Undirected,94,,1
5,4,Undirected,95,,0.749339785
6,4,Undirected,96,,0.564876881
7,4,Undirected,97,,0.453051108
8,4,Undirected,98,,0.59967431
9,4,Undirected,99,,0.88744872
10,4,Undirected,100,,0.964655548
11,4,Undirected,101,,0.950536011
12,4,Undirected,102,,0.829621667
13,4,Undirected,103,,0.795136419
14,4,Undirected,104,,0.850642265
15,4,Undirected,105,,0.759301496
16,4,Undirected,106,,0.427077316
17,4,Undirected,107,,0.637182221
18,4,Undirected,108,,0.816083764
19,4,Undirected,109,,0.720686675
20,4,Undirected,110,,0.918466626
21,4,Undirected,111,,0.484110415
22,4,Undirected,112,,0.619318192
23,4,Undirected,113,,0.412391316
24,4,Undirected,114,,0.292475872
25,4,Undirected,115,,0.413578522
26,4,Undirected,116,,0.36854756
27,4,Undirected,117,,0.604252404
28,4,Undirected,118,,0.249616942
29,4,Undirected,119,,0.395307354
30,4,Undirected,120,,0.240595393
1,5,Undirected,121,,0.866501876
2,5,Undirected,122,,0.910676235
3,5,Undirected,123,,0.948465101
4,5,Undirected,124,,0.749339785
5,5,Undirected,125,,1
6,5,Undirected,126,,0.79296791
7,5,Undirected,127,,0.692287364
8,5,Undirected,128,,0.814163492
9,5,Undirected,129,,0.640383449
10,5,Undirected,130,,0.745166336
11,5,Undirected,131,,0.789665075
12,5,Undirected,132,,0.851990778
13,5,Undirected,133,,0.553415316
14,5,Undirected,134,,0.619445195
15,5,Undirected,135,,0.51179426
16,5,Undirected,136,,0.66739753
17,5,Undirected,137,,0.885818233
18,5,Undirected,138,,0.93164787
19,5,Undirected,139,,0.958918139
20,5,Undirected,140,,0.809672881
21,5,Undirected,141,,0.730796196
22,5,Undirected,142,,0.867073151
23,5,Undirected,143,,0.657081602
24,5,Undirected,144,,0.534604456
25,5,Undirected,145,,0.649573275
26,5,Undirected,146,,0.604368205
27,5,Undirected,147,,0.834601307
28,5,Undirected,148,,0.493351547
29,5,Undirected,149,,0.642322187
30,5,Undirected,150,,0.484304855
1,6,Undirected,151,,0.680166026
2,6,Undirected,152,,0.825191843
3,6,Undirected,153,,0.797734065
4,6,Undirected,154,,0.564876881
5,6,Undirected,155,,0.79296791
6,6,Undirected,156,,1
7,6,Undirected,157,,0.884310555
8,6,Undirected,158,,0.956146693
9,6,Undirected,159,,0.452370815
10,6,Undirected,160,,0.571790029
11,6,Undirected,161,,0.612229434
12,6,Undirected,162,,0.720926699
13,6,Undirected,163,,0.360916768
14,6,Undirected,164,,0.422811933
15,6,Undirected,165,,0.324459743
16,6,Undirected,166,,0.858065721
17,6,Undirected,167,,0.88829436
18,6,Undirected,168,,0.729990081
19,6,Undirected,169,,0.832650727
20,6,Undirected,170,,0.609909691
21,6,Undirected,171,,0.890140686
22,6,Undirected,172,,0.903440613
23,6,Undirected,173,,0.836006506
24,6,Undirected,174,,0.724465965
25,6,Undirected,175,,0.848223231
26,6,Undirected,176,,0.803487666
27,6,Undirected,177,,0.958315413
28,6,Undirected,178,,0.680304075
29,6,Undirected,179,,0.812821788
30,6,Undirected,180,,0.671435322
1,7,Undirected,181,,0.569997566
2,7,Undirected,182,,0.710866198
3,7,Undirected,183,,0.687561618
4,7,Undirected,184,,0.453051108
5,7,Undirected,185,,0.692287364
6,7,Undirected,186,,0.884310555
7,7,Undirected,187,,1
8,7,Undirected,188,,0.842199972
9,7,Undirected,189,,0.340823127
10,7,Undirected,190,,0.458126115
11,7,Undirected,191,,0.499490593
12,7,Undirected,192,,0.605604747
13,7,Undirected,193,,0.250453648
14,7,Undirected,194,,0.31414903
15,7,Undirected,195,,0.212365496
16,7,Undirected,196,,0.973611207
17,7,Undirected,197,,0.803539186
18,7,Undirected,198,,0.625494595
19,7,Undirected,199,,0.728635457
20,7,Undirected,200,,0.503433504
21,7,Undirected,201,,0.940051291
22,7,Undirected,202,,0.822628245
23,7,Undirected,203,,0.947469537
24,7,Undirected,204,,0.839171026
25,7,Undirected,205,,0.955037165
26,7,Undirected,206,,0.911234984
27,7,Undirected,207,,0.848227874
28,7,Undirected,208,,0.795511302
29,7,Undirected,209,,0.920956988
30,7,Undirected,210,,0.786574027
1,8,Undirected,211,,0.712535008
2,8,Undirected,212,,0.861254381
